NOMBRE                                                                                               | TIPO           | VALOR                                                                                               
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
nombre                                                                                               | CONST          |                                                                                                     
_85                                                                                                  | CTE ENTERA     | 85                                                                                                  
pivot                                                                                                | CONST          | 85                                                                                                  
_2                                                                                                   | CTE ENTERA     | 2                                                                                                   
_"Prueba.txt"                                                                                        | CTE STRING     | "Prueba.txt"                                                                                        
_"Prueba.txt LyC Tema 3!"                                                                            | CTE STRING     | "Prueba.txt LyC Tema 3!"                                                                            
_"Ingrese un valor entero para actual: "                                                             | CTE STRING     | "Ingrese un valor entero para actual: "                                                             
actual                                                                                               | ID             |                                                                                                     
contador                                                                                             | ID             |                                                                                                     
_0                                                                                                   | CTE ENTERA     | 0                                                                                                   
suma                                                                                                 | ID             |                                                                                                     
_2.500000                                                                                            | CTE REAL       | 2.500000                                                                                            
_9                                                                                                   | CTE ENTERA     | 9                                                                                                   
_1                                                                                                   | CTE ENTERA     | 1                                                                                                   
_0.342000                                                                                            | CTE REAL       | 0.342000                                                                                            
_10                                                                                                  | CTE ENTERA     | 10                                                                                                  
_"La suma es: "                                                                                      | CTE STRING     | "La suma es: "                                                                                      
_"actual es mayor que 2 y distinto de cero"                                                          | CTE STRING     | "actual es mayor que 2 y distinto de cero"                                                          
_3                                                                                                   | CTE ENTERA     | 3                                                                                                   
_"Distinto de cero"                                                                                  | CTE STRING     | "Distinto de cero"                                                                                  
_30                                                                                                  | CTE ENTERA     | 30                                                                                                  
